"X","game_id","game_title"
1,"B00000DMAX","Mario Kart 64"
2,"B00000DMAT","GoldenEye 007"
3,"B00000F1GM","Super Mario 64"
4,"B00000I1BJ","Resident Evil 2"
5,"B00000ID61","Star Fox 64 (without Rumble Pak)"
6,"B00000J97G","Game Boy Color - Atomic Purple"
7,"B00000JRSB","Final Fantasy VII"
8,"B00000K2R4","Sega Dreamcast Console"
9,"B00000K3X9","Sonic Adventure - Sega Dreamcast"
10,"B00001OWYW","Castlevania: Symphony of the Night"
11,"B00001X50M","Metal Gear Solid"
12,"B00001XDUB","Silent Hill"
13,"B000021Y5P","Mortal Kombat Trilogy"
14,"B0000296O5","Final Fantasy VIII"
15,"B00002R28C","Final Fantasy Anthology - PlayStation"
16,"B00002ST28","Super Mario Land"
17,"B00002STFD","Star Wars: Shadows of the Empire"
18,"B00002STGL","Perfect Dark"
19,"B00002STXQ","Super Mario World"
20,"B00002STXN","The Legend of Zelda: A Link to the Past"
21,"B00002STYS","Mortal Kombat"
22,"B00002SVFV","Super Metroid"
23,"B00002SVFZ","Donkey Kong Country"
24,"B000035XR9","Sega Genesis Core System 2 - Video Game Console"
25,"B000035Y38","Star Fox"
26,"B000035Y4T","Mortal Kombat II"
27,"B000035Y3N","Teenage Mutant Ninja Turtles IV: Turtles in Time"
28,"B000035Y6D","Super Nintendo Console (SNES System)"
29,"B000038ABO","Parasite Eve"
30,"B00004SVS3","Mega Man 2 - Nintendo NES"
31,"B00004SVS5","Mega Man 3"
32,"B00004SVV8","Super Mario Bros. 2"
33,"B00004SVV9","Super Mario Bros. 3"
34,"B00004SVYF","Metroid"
35,"B00004SVXW","The Legend of Zelda"
36,"B00004TC6E","Chrono Cross - PlayStation"
37,"B00004U1R2","Conker's Bad Fur Day"
38,"B00004U5VK","Onimusha Warlords"
39,"B00004U5VF","Tekken Tag Tournament - PlayStation 2"
40,"B00004Y57G","Final Fantasy IX"
41,"B00004YRQA","PlayStation 2 Memory Card (8MB)"
42,"B00004YRQ9","PlayStation 2 Dualshock Controller Black"
43,"B00004YUWA","Ico"
44,"B000050FBJ","Super Mario All Stars"
45,"B00005AV8W","Castlevania"
46,"B00005B8G1","Game Boy Advance Console in Glacier"
47,"B00005B8FZ","Super Mario Advance"
48,"B00005BIG7","Red Faction"
49,"B00005BJ9G","Castlevania: Circle of the Moon"
50,"B00005BW7Q","Xenosaga - PlayStation 2"
51,"B00005CDR8","Sega Saturn System - Video Game Console"
52,"B00005J536","Sony Twisted Metal: Black - Playstation 2"
53,"B00005ME6N","Resident Evil: Code Veronica X - PlayStation 2"
54,"B00005MDZY","Mario Kart: Super Circuit"
55,"B00005ME6O","Silent Hill 2"
56,"B00005ML10","Metal Gear Solid 2: Sons of Liberty"
57,"B00005MO5G","Sonic Advance"
58,"B00005N7YR","Medal of Honor: Allied Assault - PC"
59,"B00005NCCR","Devil May Cry"
60,"B00005NN5A","The Simpsons: Road Rage"
61,"B00005NZ1K","Oddworld: Munch's Oddysee (Xbox)"
62,"B00005NZ1G","Halo - Xbox"
63,"B00005O0I3","Dead or Alive 3"
64,"B00005O0I2","Grand Theft Auto III"
65,"B00005Q8IR","Baldur's Gate: Dark Alliance"
66,"B00005Q8LR","Luigi's Mansion - Gamecube"
67,"B00005Q8M0","Super Smash Bros Melee"
68,"B00005Q8M4","Eternal Darkness: Sanity's Requiem"
69,"B00005QDPZ","Star Wars Rogue Squadron II: Rogue Leader"
70,"B00005QEFD","GameCube (Jet Black)"
